Country,Price
Australia,5.13
Austria,5.55
Bahrain,11.53
Belgium,5.97
Brazil,5.97
Canada,5.97
Channel Islands,5.97
Cyprus,5.97
Czech Republic,10.55
Denmark,5.46
EIRE,5.46
European Community,10.81
Finland,5.97
France,5.46
Germany,5.34
Greece,6.04
Hong Kong,5.97
Iceland,5.13
Israel,5.97
Italy,5.97
Japan,5.87
Lebanon,10.81
Lithuania,11.53
Malta,5.97
Netherlands,5.55
Norway,6.04
Poland,10.65
Portugal,5.55
RSA,5.97
Saudi Arabia,10.68
Singapore,6.13
Spain,5.46
Sweden,5.46
Switzerland,5.46
USA,5.97
United Arab Emirates,10.55
United Kingdom,5.13
Unspecified,5.97
